symbol,identifier,series,purpose,lastPrice,change,pChange,previousClose,finalQuantity,totalTurnover,marketCap,yearHigh,yearLow,iep
ANUP,ANUPEQN,EQ,,0,25.4,1.75,1449.6,0,0,-,3633.05,1422.3,1475.0
HINDCOPPER,HINDCOPPEREQN,EQ,,0,9.45,1.75,540.55,0,0,-,760.05,183.82,550.0
KSOLVES,KSOLVESEQN,EQ,,0,4.95,1.75,283.05,0,0,-,497.0,250.05,288.0
DLF,DLFEQN,EQ,,0,10.0,1.74,574.95,0,0,-,886.8,553.55,584.95
INDOFARM,INDOFARMEQN,EQ,,0,2.14,1.74,123.26,0,0,-,271.69,122.0,125.4
ALLCARGO,ALLCARGOEQN,EQ,,0,0.13,1.74,7.48,0,0,-,38.34,7.39,7.61
IOB,IOBEQN,EQ,,0,0.57,1.73,33.03,0,0,-,45.15,32.6,33.6
VINYLINDIA,VINYLINDIAEQN,EQ,,0,3.46,1.73,199.54,0,0,-,356.8,198.1,203.0
WAAREERTL,WAAREERTLEQN,EQ,,0,13.7,1.73,793.9,0,0,-,1358.0,786.35,807.6
JPPOWER,JPPOWEREQN,EQ,,0,0.23,1.72,13.37,0,0,-,27.7,12.52,13.6
CYIENTDLM,CYIENTDLMEQN,EQ,,0,4.95,1.72,288.05,0,0,-,540.0,282.6,293.0
ADANIPOWER,ADANIPOWEREQN,EQ,,0,2.39,1.72,139.11,0,0,-,182.7,92.4,141.5
FEDERALBNK,FEDERALBNKEQN,EQ,,0,4.7,1.72,273.3,0,0,-,302.0,175.5,278.0
J&KBANK,J&KBANKEQN,EQ,,0,1.93,1.72,111.94,0,0,-,123.6,87.3,113.87
SUMICHEM,SUMICHEMEQN,EQ,,0,6.6,1.72,382.85,0,0,-,665.0,380.6,389.45
PINELABS,PINELABSEQN,EQ,,0,3.01,1.72,174.79,0,0,-,284.0,165.91,177.8
JSWCEMENT,JSWCEMENTEQN,EQ,,0,2.11,1.72,122.84,0,0,-,162.15,106.65,124.95
TRANSRAILL,TRANSRAILLEQN,EQ,,0,8.6,1.71,502.4,0,0,-,855.8,394.55,511.0
KALAMANDIR,KALAMANDIREQN,EQ,,0,1.75,1.7,102.75,0,0,-,223.03,99.6,104.5
BCLIND,BCLINDEQN,EQ,,0,0.47,1.7,27.58,0,0,-,49.3,26.07,28.05
AIRAN,AIRANEQN,EQ,,0,0.27,1.69,15.93,0,0,-,32.65,12.66,16.2
MOIL,MOILEQN,EQ,,0,4.75,1.69,280.75,0,0,-,405.6,274.05,285.5
IGARASHI,IGARASHIEQN,EQ,,0,5.3,1.69,314.2,0,0,-,665.0,311.65,319.5
HATHWAY,HATHWAYEQN,EQ,,0,0.17,1.69,10.03,0,0,-,17.98,9.88,10.2
CAMS,CAMSEQN,EQ,,0,11.0,1.69,649.1,0,0,-,875.0,624.15,660.1
RAJOOENG,RAJOOENGEQN,EQ,,0,0.99,1.68,58.91,0,0,-,145.88,57.76,59.9
ASHOKAMET,ASHOKAMETEQN,EQ,,0,0.24,1.68,14.29,0,0,-,21.0,12.6,14.53
FSL,FSLEQN,EQ,,0,3.55,1.68,211.45,0,0,-,403.8,202.0,215.0
